"cohort","gene","n","events","log_hr","se"
"TCGA_PAAD","LAMC2",176,92,0.679612844805718,0.160386262582232
"TCGA_PAAD","DKK1",176,92,0.52533526116753,0.122489653182675
"TCGA_PAAD","ITGB6",176,92,0.880787862472013,0.203991391129096
"TCGA_PAAD","GPRC5A",176,92,0.698149740341023,0.179341149856033
"TCGA_PAAD","MAL2",176,92,0.47631322635958,0.131656999998594
"GSE85916","LAMC2",79,57,0.24689424991888,0.147011218784533
"GSE85916","DKK1",79,57,0.139009180653498,0.12085954362304
"GSE85916","ITGB6",79,57,-0.0119647696458279,0.120149022776465
"GSE85916","GPRC5A",79,57,0.124249874985753,0.145753255726346
"GSE85916","MAL2",79,57,0.105772494658865,0.137052854595502
