"sample_id","title","dataset","platform_id","assay","specimen_class","eligible_primary_tumor","survival_in_geo_series_matrix"
"GSM1843893","54018-BXPC3-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843894","54276-Capan1-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843895","54277-Capan2-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843896","54019-CFPAC-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843897","54023-HPAC-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843898","54246-HPAFII-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843899","54278-Hs766T-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843900","51251-HUPT3-CellLine","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","cell_line",FALSE,FALSE
"GSM1843901","53841-Met-LymphNode","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843902","49083-Met-Diaphragm","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843903","53844-Met-Fat","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843904","49085-Met-Liver","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843905","49086-Met-Liver","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843906","53846-Met-Lung","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843907","53847-Met-Lung","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843908","49084-Met-Colon","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843909","49396-Met-Peritoneal","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843910","49359-Met-AbWall","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
"GSM1843911","48574-Met-AbWall","GSE71729","GPL20769","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","metastasis",FALSE,FALSE
