"held_out_cohort","gene","coefficient"
"TCGA_PAAD","OLR1",0.236753686687299
"TCGA_PAAD","MCFD2",0.134474818831636
"TCGA_PAAD","NYNRIN",-0.536307436454156
"TCGA_PAAD","NCF2",0.0527308449591207
"TCGA_PAAD","MFI2",0.197098959052091
"TCGA_PAAD","ADM",0.134830230530188
"TCGA_PAAD","SCEL",0.17289586107686
"TCGA_PAAD","FABP6",-0.329618969766678
"TCGA_PAAD","ZNF143",-0.0465636655631887
"TCGA_PAAD","ALCAM",0.156501868309291
"GSE85916","SERPINB5",0.185953053814132
"GSE85916","RHOF",0.0642313813520548
"GSE85916","GPR126",0.464982153973897
"GSE85916","MYEOV",0.145250002220212
"GSE85916","GJB3",-0.193297285170721
"GSE85916","CA12",0.260169856626219
"GSE85916","UCA1",0.150928776587512
"GSE85916","LIPH",0.0749607980322876
"GSE85916","LY6D",0.448495738083266
"GSE85916","FAM83A",-0.03766649289885
"GSE85916","IGF2BP2",-0.0679938124815276
"GSE85916","GJB4",-0.202566359634452
"GSE85916","TOP2A",0.0117647312302138
"GSE85916","TPX2",0.305066503033137
"GSE85916","PLEK2",-0.150073284523529
"GSE85916","GPR87",0.0138951613411603
"GSE85916","ZNF185",0.0975880853107857
"GSE85916","GJB5",0.241461026967617
"GSE85916","IL1RN",-0.107417189794853
"GSE85916","DSG3",-0.0218491465936833
