"gene","selected_outer_fits","selection_frequency"
"FAM83A",25,1
"UCA1",24,0.96
"LY6D",19,0.76
"COL17A1",18,0.72
"HMGA2",16,0.64
"C12orf36",12,0.48
"DKK1",12,0.48
"GPR87",11,0.44
"ANXA8L2",10,0.4
"KRT16",9,0.36
"EREG",7,0.28
"SERPINB7",7,0.28
"TRIM29",7,0.28
"MSLN",5,0.2
"DMBX1",4,0.16
"DSG3",4,0.16
"GJB5",4,0.16
"HRASLS2",4,0.16
"C14orf34",3,0.12
"FGFBP1",3,0.12
"MYEOV",3,0.12
"S100P",3,0.12
"ANXA8",2,0.08
"ARL14",2,0.08
"ARX",2,0.08
"C11orf86",2,0.08
"FAM83A-AS1",2,0.08
"PCSK1N",2,0.08
"PSCA",2,0.08
"SCEL",2,0.08
"SEZ6L",2,0.08
"TNS4",2,0.08
"CDA",1,0.04
"CXCL10",1,0.04
"DHRS9",1,0.04
"DPCR1",1,0.04
"GABRP",1,0.04
"IGF2BP3",1,0.04
"KLK6",1,0.04
"KRT13",1,0.04
"KRT17",1,0.04
"MUC4",1,0.04
"MYH16",1,0.04
"PADI1",1,0.04
"SMIM32",1,0.04
"SPRR1B",1,0.04
"VGLL1",1,0.04
